Model,Member,Var,Season,RMSE,BIAS,Both
ACCESS-CM2,r1i1p1f1,pr,DJF,3.4,-0.4,3.423448554
ACCESS-CM2,r1i1p1f1,pr,MAM,4.4,-0.1,4.401136217
ACCESS-CM2,r1i1p1f1,pr,JJA,7.6,0.4,7.610519036
ACCESS-CM2,r1i1p1f1,pr,SON,4.9,-0.6,4.936598019
ACCESS-CM2,r1i1p1f1,tasmax,DJF,0.2,-0.1,0.223606798
ACCESS-CM2,r1i1p1f1,tasmax,MAM,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,tasmax,JJA,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,tasmax,SON,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,tasmin,DJF,0.2,-0.1,0.223606798
ACCESS-CM2,r1i1p1f1,tasmin,MAM,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,tasmin,JJA,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,tasmin,SON,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,DTR,DJF,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,DTR,MAM,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,DTR,JJA,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,DTR,SON,0.1,0,0.1
ACCESS-CM2,r1i1p1f1,pr,Annual,10.61555463,0.830662386,10.64800451
ACCESS-CM2,r1i1p1f1,tasmax,Annual,0.264575131,0.1,0.282842712
ACCESS-CM2,r1i1p1f1,tasmin,Annual,0.264575131,0.1,0.282842712
ACCESS-CM2,r1i1p1f1,DTR,Annual,0.2,0,0.2
ACCESS-CM2,r1i1p1f1,All,DJF,3.413209633,0.424264069,3.439476704
ACCESS-CM2,r1i1p1f1,All,MAM,4.403407771,0.1,4.404543109
ACCESS-CM2,r1i1p1f1,All,JJA,7.601973428,0.4,7.612489737
ACCESS-CM2,r1i1p1f1,All,SON,4.903060269,0.6,4.939635614
GFDL-ESM4,r1i1p1f1,All,Annual,6.076183012,0.964365076,6.152235366
ACCESS-ESM1-5,r1i1p1f1,pr,DJF,3.7,1.4,3.956008089
ACCESS-ESM1-5,r1i1p1f1,pr,MAM,4.3,-1,4.414748011
ACCESS-ESM1-5,r1i1p1f1,pr,JJA,6.3,0.8,6.350590524
ACCESS-ESM1-5,r1i1p1f1,pr,SON,5.1,0.2,5.103920062
ACCESS-ESM1-5,r1i1p1f1,tasmax,DJF,0.1,0,0.1
ACCESS-ESM1-5,r1i1p1f1,tasmax,MAM,0.1,0.1,0.141421356
ACCESS-ESM1-5,r1i1p1f1,tasmax,JJA,0.2,0.1,0.223606798
ACCESS-ESM1-5,r1i1p1f1,tasmax,SON,0.1,0.1,0.141421356
ACCESS-ESM1-5,r1i1p1f1,tasmin,DJF,0.1,0,0.1
ACCESS-ESM1-5,r1i1p1f1,tasmin,MAM,0.1,0.1,0.141421356
ACCESS-ESM1-5,r1i1p1f1,tasmin,JJA,0.1,0.1,0.141421356
ACCESS-ESM1-5,r1i1p1f1,tasmin,SON,0.1,0.1,0.141421356
ACCESS-ESM1-5,r1i1p1f1,DTR,DJF,0.1,0,0.1
ACCESS-ESM1-5,r1i1p1f1,DTR,MAM,0.1,0,0.1
ACCESS-ESM1-5,r1i1p1f1,DTR,JJA,0.1,0,0.1
ACCESS-ESM1-5,r1i1p1f1,DTR,SON,0.1,0,0.1
ACCESS-ESM1-5,r1i1p1f1,pr,Annual,9.893432165,1.907878403,10.07571337
ACCESS-ESM1-5,r1i1p1f1,tasmax,Annual,0.264575131,0.173205081,0.316227766
ACCESS-ESM1-5,r1i1p1f1,tasmin,Annual,0.2,0.173205081,0.264575131
ACCESS-ESM1-5,r1i1p1f1,DTR,Annual,0.2,0,0.2
ACCESS-ESM1-5,r1i1p1f1,All,DJF,3.704051835,1.4,3.959797975
ACCESS-ESM1-5,r1i1p1f1,All,MAM,4.303486958,1.009950494,4.420407221
ACCESS-ESM1-5,r1i1p1f1,All,JJA,6.304760106,0.81240384,6.35688603
ACCESS-ESM1-5,r1i1p1f1,All,SON,5.102940329,0.244948974,5.10881591
BCC-CSM2-MR,r1i1p1f1,All,Annual,6.283311229,0.969535971,6.35767253
AWI-CM-1-1-MR,r1i1p1f1,pr,DJF,4.8,0.7,4.850773134
AWI-CM-1-1-MR,r1i1p1f1,pr,MAM,5,0.3,5.008991915
AWI-CM-1-1-MR,r1i1p1f1,pr,JJA,7.9,-0.1,7.900632886
AWI-CM-1-1-MR,r1i1p1f1,pr,SON,5.2,2.2,5.646237685
AWI-CM-1-1-MR,r1i1p1f1,tasmax,DJF,0.2,0.3,0.360555128
AWI-CM-1-1-MR,r1i1p1f1,tasmax,MAM,0.2,-0.3,0.360555128
AWI-CM-1-1-MR,r1i1p1f1,tasmax,JJA,0.2,-0.1,0.223606798
AWI-CM-1-1-MR,r1i1p1f1,tasmax,SON,0.2,-0.1,0.223606798
AWI-CM-1-1-MR,r1i1p1f1,tasmin,DJF,0.1,-0.1,0.141421356
AWI-CM-1-1-MR,r1i1p1f1,tasmin,MAM,0.3,-0.2,0.360555128
AWI-CM-1-1-MR,r1i1p1f1,tasmin,JJA,0.1,-0.1,0.141421356
AWI-CM-1-1-MR,r1i1p1f1,tasmin,SON,0.2,-0.1,0.223606798
AWI-CM-1-1-MR,r1i1p1f1,DTR,DJF,0.1,0,0.1
AWI-CM-1-1-MR,r1i1p1f1,DTR,MAM,0.1,0,0.1
AWI-CM-1-1-MR,r1i1p1f1,DTR,JJA,0.1,0,0.1
AWI-CM-1-1-MR,r1i1p1f1,DTR,SON,0.1,0,0.1
AWI-CM-1-1-MR,r1i1p1f1,pr,Annual,11.72561299,2.33023604,11.95491531
AWI-CM-1-1-MR,r1i1p1f1,tasmax,Annual,0.4,0.447213595,0.6
